00,307
01,167
02,32
03,85
04,270
05,50
06,71
07,65
08,77
09,54
10,49
11,94
12,148
13,110
14,1
15,3
16,40
17,95
18,424
19,37
20,53
21,93
22,135
23,16
24,292
25,89
26,6
27,28
28,33
29,186
30,64
31,137
32,15
33,24
34,86
35,9
36,285
37,46
38,17
39,43
40,70
41,2
42,92
43,23
44,59
45,60
46,19
47,119
48,87
49,57
50,31
51,48
52,172
53,8
54,191
55,130
56,210
57,404
58,10
59,4
60,127
61,219
62,20
63,312
64,22
65,7
66,117
67,98
68,605
69,41
70,96
71,39
72,139
73,299
74,56
75,47
76,569
77,559
78,66
79,13
80,84
81,67
82,52
83,26
84,18
85,171
86,74
87,305
88,34
89,11
90,247
91,249
92,5
93,14
94,58
95,30
96,180
97,12
98,80
99,44
